Cruise,SampID,Name,impute_conc_nM
G4_DepthProfiles,240801_Smp_TN397_S9_15m_B,(3-Carboxypropyl)trimethylammonium,4.184048379712479e-5
G4_DepthProfiles,240801_Smp_TN397_S9_45m_A,(3-Carboxypropyl)trimethylammonium,3.835377681403106e-5
G4_DepthProfiles,240801_Smp_TN397_S9_45m_B,(3-Carboxypropyl)trimethylammonium,3.835377681403106e-5
G4_DepthProfiles,240801_Smp_TN397_S9_200m_A,(3-Carboxypropyl)trimethylammonium,2.556918454268737e-5
G4_DepthProfiles,240801_Smp_TN397_S9_200m_B,(3-Carboxypropyl)trimethylammonium,2.556918454268737e-5
G4_DepthProfiles,240801_Smp_TN397_S9_500m_A,(3-Carboxypropyl)trimethylammonium,1.2111718993904544e-5
G4_DepthProfiles,240801_Smp_TN397_S9_1000m_B,(3-Carboxypropyl)trimethylammonium,1.353662711083449e-5
G4_DepthProfiles,240801_Smp_TN397_S9_DCM_A,(3-Carboxypropyl)trimethylammonium,3.835377681403106e-5
G4_DepthProfiles,240801_Smp_TN397_S9_DCM_B,(3-Carboxypropyl)trimethylammonium,3.835377681403106e-5
G4_DepthProfiles,240801_Smp_TN397_S9_DCM+50_A,(3-Carboxypropyl)trimethylammonium,3.835377681403106e-5
G4_DepthProfiles,240801_Smp_TN397_S9_DCM+50_B,(3-Carboxypropyl)trimethylammonium,3.835377681403106e-5
G4_DepthProfiles,240801_Smp_TN397_S10_60m_A,(3-Carboxypropyl)trimethylammonium,5.753066522104658e-5
G4_DepthProfiles,240801_Smp_TN397_S10_60m_B,(3-Carboxypropyl)trimethylammonium,5.753066522104658e-5
G4_DepthProfiles,240801_Smp_TN397_S10_DCM_A,(3-Carboxypropyl)trimethylammonium,3.835377681403106e-5
G4_DepthProfiles,240801_Smp_TN397_S10_DCM_B,(3-Carboxypropyl)trimethylammonium,3.835377681403106e-5
G4_DepthProfiles,240801_Smp_TN397_S10_DCM_C,(3-Carboxypropyl)trimethylammonium,3.835377681403106e-5
G4_DepthProfiles,240801_Smp_TN397_S11_15m_A,(3-Carboxypropyl)trimethylammonium,4.6024532176837264e-5
G4_DepthProfiles,240801_Smp_TN397_S11_15m_B,(3-Carboxypropyl)trimethylammonium,4.6024532176837264e-5
G4_DepthProfiles,240801_Smp_TN397_S11_45m_A,(3-Carboxypropyl)trimethylammonium,4.6024532176837264e-5
G4_DepthProfiles,240801_Smp_TN397_S11_45m_B,(3-Carboxypropyl)trimethylammonium,4.6024532176837264e-5
G4_DepthProfiles,240801_Smp_TN397_S11_200m_A,(3-Carboxypropyl)trimethylammonium,1.2784592271343685e-5
G4_DepthProfiles,240801_Smp_TN397_S11_500m_A,(3-Carboxypropyl)trimethylammonium,1.2784592271343685e-5
G4_DepthProfiles,240801_Smp_TN397_S11_1000m_A,(3-Carboxypropyl)trimethylammonium,1.2784592271343685e-5
G4_DepthProfiles,240801_Smp_TN397_S11_DCM_A,(3-Carboxypropyl)trimethylammonium,4.6024532176837264e-5
G4_DepthProfiles,240801_Smp_TN397_S11_DCM_B,(3-Carboxypropyl)trimethylammonium,4.6024532176837264e-5
G4_DepthProfiles,240801_Smp_TN397_S11_DCM+50_A,(3-Carboxypropyl)trimethylammonium,4.6024532176837264e-5
G4_DepthProfiles,240801_Smp_TN397_S11_DCM+50_B,(3-Carboxypropyl)trimethylammonium,4.6024532176837264e-5
G4_DepthProfiles,240801_Smp_TN397_S12_15m_A,(3-Carboxypropyl)trimethylammonium,4.6024532176837264e-5
G4_DepthProfiles,240801_Smp_TN397_S12_15m_B,(3-Carboxypropyl)trimethylammonium,4.6024532176837264e-5
G4_DepthProfiles,240801_Smp_TN397_S12_DCM_A,(3-Carboxypropyl)trimethylammonium,4.6024532176837264e-5
G4_DepthProfiles,240801_Smp_TN397_S12_DCM_B,(3-Carboxypropyl)trimethylammonium,4.6024532176837264e-5
