cruise_comp,Name,SampID,Area,IS,IS.area,Cruise,match.name,IS.Conc.uM,umol.in.vial.ave,Vol_L
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU10_B,16293285888,"Glycine betaine, 13C5, 15N",2292309760,KM1906,Glycine betaine,1,7.107802868666406,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU10_C,9995047936,"Glycine betaine, 13C5, 15N",2248586240,KM1906,Glycine betaine,1,4.445036511474872,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU11_A,32390348800,"Glycine betaine, 13C5, 15N",1897522048,KM1906,Glycine betaine,1,17.069814200124647,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU11_B,41994829824,"Glycine betaine, 13C5, 15N",2100347392,KM1906,Glycine betaine,1,19.994230470613502,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU11_C,34038628352,"Glycine betaine, 13C5, 15N",2189773056,KM1906,Glycine betaine,1,15.544363494077077,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU14_A,21477652480,"Glycine betaine, 13C5, 15N",2185446656,KM1906,Glycine betaine,1,9.827580289381357,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU14_B,28158486528,"Glycine betaine, 13C5, 15N",2328020992,KM1906,Glycine betaine,1,12.095460747460477,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU14_C,24070823936,"Glycine betaine, 13C5, 15N",1974538240,KM1906,Glycine betaine,1,12.190609150218332,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU15_A,21896488960,"Glycine betaine, 13C5, 15N",2225199872,KM1906,Glycine betaine,1,9.840234684320528,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU15_B,30818754560,"Glycine betaine, 13C5, 15N",2443300608,KM1906,Glycine betaine,1,12.613574628963544,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU15_C,23749476352,"Glycine betaine, 13C5, 15N",2365463808,KM1906,Glycine betaine,1,10.04009288651099,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU16_A,19304955904,"Glycine betaine, 13C5, 15N",2304228864,KM1906,Glycine betaine,1,8.378054890991939,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU16_B,34055770112,"Glycine betaine, 13C5, 15N",2574322176,KM1906,Glycine betaine,1,13.229024101760292,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU16_C,27709358080,"Glycine betaine, 13C5, 15N",2513902848,KM1906,Glycine betaine,1,11.022445876158217,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU17_A,43741937664,"Glycine betaine, 13C5, 15N",1975625728,KM1906,Glycine betaine,1,22.140801794620078,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU17_B,41841856512,"Glycine betaine, 13C5, 15N",1628364544,KM1906,Glycine betaine,1,25.695632262550664,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU17_C,54586568704,"Glycine betaine, 13C5, 15N",1923026560,KM1906,Glycine betaine,1,28.385759115048312,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU18_A,21367228416,"Glycine betaine, 13C5, 15N",2125673344,KM1906,Glycine betaine,1,10.05198116460927,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU18_B,34229301248,"Glycine betaine, 13C5, 15N",2495767296,KM1906,Glycine betaine,1,13.714941013475,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU18_C,29651765248,"Glycine betaine, 13C5, 15N",1970655872,KM1906,Glycine betaine,1,15.046648006537389,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU19_A,36552073216,"Glycine betaine, 13C5, 15N",2204740352,KM1906,Glycine betaine,1,16.57885618269847,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU19_B,39816278016,"Glycine betaine, 13C5, 15N",2187906816,KM1906,Glycine betaine,1,18.198342692123138,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU19_C,31981678592,"Glycine betaine, 13C5, 15N",2145942656,KM1906,Glycine betaine,1,14.903323955362954,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU20_A,19978858496,"Glycine betaine, 13C5, 15N",2064086272,KM1906,Glycine betaine,1,9.679274925190724,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU20_B,29391712256,"Glycine betaine, 13C5, 15N",2455479296,KM1906,Glycine betaine,1,11.969847314078107,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU20_C,25759150080,"Glycine betaine, 13C5, 15N",2330219264,KM1906,Glycine betaine,1,11.054388948695946,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU21_A,14171029504,"Glycine betaine, 13C5, 15N",2081159168,KM1906,Glycine betaine,1,6.809200238931461,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU21_B,23533901824,"Glycine betaine, 13C5, 15N",2576217856,KM1906,Glycine betaine,1,9.13505888843587,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU21_C,14816883712,"Glycine betaine, 13C5, 15N",2087838592,KM1906,Glycine betaine,1,7.09675727270013,10
