SampID,Vol_L,Cruise
221006_Smp_PE_NH4_T12_A,2,RC078
221006_Smp_PE_NH4_T12_B,2,RC078
221006_Smp_PE_NH4_T12_C,2,RC078
221006_Smp_PE_NH4_T24_A,2,RC078
221006_Smp_PE_NH4_T24_B,2,RC078
221006_Smp_PE_NH4_T24_C,2,RC078
221006_Smp_PE_NH4_T36_A,2,RC078
221006_Smp_PE_NH4_T36_B,2,RC078
221006_Smp_PE_NH4_T36_C,2,RC078
221006_Smp_PE_Urea_T6_A,2,RC078
221006_Smp_PE_Urea_T6_B,2,RC078
221006_Smp_PE_Urea_T6_C,2,RC078
221006_Smp_PE_Urea_T12_A,2,RC078
221006_Smp_PE_Urea_T12_B,2,RC078
221006_Smp_PE_Urea_T12_C,2,RC078
221006_Smp_PE_Urea_T24_A,2,RC078
221006_Smp_PE_Urea_T24_B,2,RC078
221006_Smp_PE_Urea_T24_C,2,RC078
221006_Smp_PE_Urea_T36_A,2,RC078
221006_Smp_PE_Urea_T36_B,2,RC078
221006_Smp_PE_Urea_T36_C,2,RC078
221006_Smp_PE_Cont_T6_A,2,RC078
221006_Smp_PE_Cont_T6_B,2,RC078
221006_Smp_PE_Cont_T6_C,2,RC078
221006_Smp_PE_Cont_T12_A,2,RC078
221006_Smp_PE_Cont_T12_B,2,RC078
221006_Smp_PE_Cont_T12_C,2,RC078
221006_Smp_PE_Cont_T24_A,2,RC078
221006_Smp_PE_Cont_T24_B,2,RC078
221006_Smp_PE_Cont_T24_C,2,RC078
221006_Smp_PE_Cont_T36_A,2,RC078
221006_Smp_PE_Cont_T36_B,2,RC078
221006_Smp_PE_Cont_T36_C,2,RC078
240801_Blk_TN397_S4_500m_Blk,2,G4_DepthProfiles
240801_Blk_TN397_S4_200m_Blk,2,G4_DepthProfiles
240801_Smp_TN397_S1_DCM_A,5,G4_DepthProfiles
240801_Smp_TN397_S1_DCM_B,5,G4_DepthProfiles
240801_Smp_TN397_S1_DCM_C,5,G4_DepthProfiles
240801_Smp_TN397_S4_15m_A,6,G4_DepthProfiles
240801_Smp_TN397_S4_15m_B,5,G4_DepthProfiles
240801_Smp_TN397_S4_45m_A,5.75,G4_DepthProfiles
240801_Smp_TN397_S4_45m_B,6,G4_DepthProfiles
240801_Smp_TN397_S4_200m_A,8.5,G4_DepthProfiles
240801_Smp_TN397_S4_200m_B,9,G4_DepthProfiles
240801_Smp_TN397_S4_500m_A,18,G4_DepthProfiles
240801_Smp_TN397_S4_1000m_A,18,G4_DepthProfiles
240801_Smp_TN397_S4_DCM_A,5.25,G4_DepthProfiles
240801_Smp_TN397_S4_DCM_B,4.25,G4_DepthProfiles
240801_Smp_TN397_S4_DCM+50_A,6,G4_DepthProfiles
240801_Smp_TN397_S4_DCM+50_B,6,G4_DepthProfiles
240801_Smp_TN397_S6_DCM_A,5,G4_DepthProfiles
240801_Smp_TN397_S6_DCM_B,5,G4_DepthProfiles
240801_Smp_TN397_S6_DCM_C,5,G4_DepthProfiles
240801_Smp_TN397_S7_15m_A,6,G4_DepthProfiles
240801_Smp_TN397_S7_15m_B,6,G4_DepthProfiles
240801_Smp_TN397_S7_30m_A,6,G4_DepthProfiles
240801_Smp_TN397_S7_30m_B,6,G4_DepthProfiles
240801_Smp_TN397_S7_200m_A,9,G4_DepthProfiles
240801_Smp_TN397_S7_200m_B,8,G4_DepthProfiles
240801_Smp_TN397_S7_500m_B,17,G4_DepthProfiles
240801_Smp_TN397_S7_1000m_B,17.5,G4_DepthProfiles
240801_Smp_TN397_S7_DCM_A,5.9,G4_DepthProfiles
240801_Smp_TN397_S7_DCM_B,6,G4_DepthProfiles
240801_Smp_TN397_S7_DCM+50_A,6,G4_DepthProfiles
240801_Smp_TN397_S7_DCM+50_B,6,G4_DepthProfiles
240801_Smp_TN397_S9_15m_A,5.5,G4_DepthProfiles
240801_Smp_TN397_S9_15m_B,5.5,G4_DepthProfiles
240801_Smp_TN397_S9_45m_A,6,G4_DepthProfiles
240801_Smp_TN397_S9_45m_B,6,G4_DepthProfiles
240801_Smp_TN397_S9_200m_A,9,G4_DepthProfiles
240801_Smp_TN397_S9_200m_B,9,G4_DepthProfiles
240801_Smp_TN397_S9_500m_A,19,G4_DepthProfiles
240801_Smp_TN397_S9_1000m_B,17,G4_DepthProfiles
240801_Smp_TN397_S9_DCM_A,6,G4_DepthProfiles
240801_Smp_TN397_S9_DCM_B,6,G4_DepthProfiles
240801_Smp_TN397_S9_DCM+50_A,6,G4_DepthProfiles
240801_Smp_TN397_S9_DCM+50_B,6,G4_DepthProfiles
240801_Smp_TN397_S10_60m_A,4,G4_DepthProfiles
240801_Smp_TN397_S10_60m_B,4,G4_DepthProfiles
240801_Smp_TN397_S10_DCM_A,6,G4_DepthProfiles
240801_Smp_TN397_S10_DCM_B,6,G4_DepthProfiles
240801_Smp_TN397_S10_DCM_C,6,G4_DepthProfiles
240801_Smp_TN397_S11_15m_A,5,G4_DepthProfiles
240801_Smp_TN397_S11_15m_B,5,G4_DepthProfiles
240801_Smp_TN397_S11_45m_A,5,G4_DepthProfiles
240801_Smp_TN397_S11_45m_B,5,G4_DepthProfiles
240801_Smp_TN397_S11_200m_A,18,G4_DepthProfiles
240801_Smp_TN397_S11_500m_A,18,G4_DepthProfiles
240801_Smp_TN397_S11_1000m_A,18,G4_DepthProfiles
240801_Smp_TN397_S11_DCM_A,5,G4_DepthProfiles
240801_Smp_TN397_S11_DCM_B,5,G4_DepthProfiles
240801_Smp_TN397_S11_DCM+50_A,5,G4_DepthProfiles
240801_Smp_TN397_S11_DCM+50_B,5,G4_DepthProfiles
240801_Smp_TN397_S12_15m_A,5,G4_DepthProfiles
240801_Smp_TN397_S12_15m_B,5,G4_DepthProfiles
240801_Smp_TN397_S12_DCM_A,5,G4_DepthProfiles
240801_Smp_TN397_S12_DCM_B,5,G4_DepthProfiles
240801_Smp_TN397_S12_DCM+50_A,5,G4_DepthProfiles
