Cruise,Rep,Compound,detected
KM1906,220628_Smp_MU22_B,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU22_C,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU23_A,5-Hydroxyectoine,No
KM1906,220628_Smp_MU23_B,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU23_C,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU24_A,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU24_B,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU24_C,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU1_A,Arsenobetaine,Yes
KM1906,220628_Smp_MU1_B,Arsenobetaine,Yes
KM1906,220628_Smp_MU1_C,Arsenobetaine,Yes
KM1906,220628_Smp_MU2_A,Arsenobetaine,Yes
KM1906,220628_Smp_MU2_B,Arsenobetaine,Yes
KM1906,220628_Smp_MU2_C,Arsenobetaine,Yes
KM1906,220628_Smp_MU3_A,Arsenobetaine,Yes
KM1906,220628_Smp_MU3_B,Arsenobetaine,Yes
KM1906,220628_Smp_MU3_C,Arsenobetaine,Yes
KM1906,220628_Smp_MU4_A,Arsenobetaine,Yes
KM1906,220628_Smp_MU4_B,Arsenobetaine,Yes
KM1906,220628_Smp_MU4_C,Arsenobetaine,Yes
KM1906,220628_Smp_MU5_A,Arsenobetaine,Yes
KM1906,220628_Smp_MU5_B,Arsenobetaine,Yes
KM1906,220628_Smp_MU5_C,Arsenobetaine,Yes
KM1906,220628_Smp_MU6_A,Arsenobetaine,Yes
KM1906,220628_Smp_MU6_B,Arsenobetaine,Yes
KM1906,220628_Smp_MU6_C,Arsenobetaine,Yes
KM1906,220628_Smp_MU7_A,Arsenobetaine,Yes
KM1906,220628_Smp_MU7_B,Arsenobetaine,Yes
KM1906,220628_Smp_MU7_C,Arsenobetaine,Yes
KM1906,220628_Smp_MU8_A,Arsenobetaine,Yes
KM1906,220628_Smp_MU8_B,Arsenobetaine,Yes
KM1906,220628_Smp_MU8_C,Arsenobetaine,Yes
KM1906,220628_Smp_MU9_A,Arsenobetaine,Yes
KM1906,220628_Smp_MU9_B,Arsenobetaine,Yes
KM1906,220628_Smp_MU9_C,Arsenobetaine,Yes
KM1906,220628_Smp_MU10_A,Arsenobetaine,Yes
KM1906,220628_Smp_MU10_B,Arsenobetaine,Yes
KM1906,220628_Smp_MU10_C,Arsenobetaine,Yes
KM1906,220628_Smp_MU11_A,Arsenobetaine,Yes
KM1906,220628_Smp_MU11_B,Arsenobetaine,Yes
KM1906,220628_Smp_MU11_C,Arsenobetaine,Yes
KM1906,220628_Smp_MU14_A,Arsenobetaine,Yes
KM1906,220628_Smp_MU14_B,Arsenobetaine,Yes
KM1906,220628_Smp_MU14_C,Arsenobetaine,Yes
KM1906,220628_Smp_MU15_A,Arsenobetaine,Yes
KM1906,220628_Smp_MU15_B,Arsenobetaine,Yes
KM1906,220628_Smp_MU15_C,Arsenobetaine,Yes
KM1906,220628_Smp_MU16_A,Arsenobetaine,Yes
KM1906,220628_Smp_MU16_B,Arsenobetaine,Yes
KM1906,220628_Smp_MU16_C,Arsenobetaine,Yes
KM1906,220628_Smp_MU17_A,Arsenobetaine,Yes
KM1906,220628_Smp_MU17_B,Arsenobetaine,Yes
KM1906,220628_Smp_MU17_C,Arsenobetaine,Yes
KM1906,220628_Smp_MU18_A,Arsenobetaine,Yes
KM1906,220628_Smp_MU18_B,Arsenobetaine,Yes
KM1906,220628_Smp_MU18_C,Arsenobetaine,Yes
KM1906,220628_Smp_MU19_A,Arsenobetaine,Yes
KM1906,220628_Smp_MU19_B,Arsenobetaine,Yes
KM1906,220628_Smp_MU19_C,Arsenobetaine,Yes
KM1906,220628_Smp_MU20_A,Arsenobetaine,Yes
KM1906,220628_Smp_MU20_B,Arsenobetaine,Yes
KM1906,220628_Smp_MU20_C,Arsenobetaine,Yes
KM1906,220628_Smp_MU21_A,Arsenobetaine,Yes
KM1906,220628_Smp_MU21_B,Arsenobetaine,Yes
KM1906,220628_Smp_MU21_C,Arsenobetaine,Yes
KM1906,220628_Smp_MU22_A,Arsenobetaine,Yes
KM1906,220628_Smp_MU22_B,Arsenobetaine,Yes
KM1906,220628_Smp_MU22_C,Arsenobetaine,Yes
KM1906,220628_Smp_MU23_A,Arsenobetaine,Yes
KM1906,220628_Smp_MU23_B,Arsenobetaine,Yes
KM1906,220628_Smp_MU23_C,Arsenobetaine,Yes
KM1906,220628_Smp_MU24_A,Arsenobetaine,Yes
KM1906,220628_Smp_MU24_B,Arsenobetaine,Yes
KM1906,220628_Smp_MU24_C,Arsenobetaine,Yes
KM1906,220628_Smp_MU1_A,beta-Alanine,Yes
KM1906,220628_Smp_MU1_B,beta-Alanine,Yes
KM1906,220628_Smp_MU1_C,beta-Alanine,Yes
KM1906,220628_Smp_MU2_A,beta-Alanine,Yes
