Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.ratio.flag,smp.remove
220628_Smp_MU5_B,MU5,B,KM1906,5-Hydroxyectoine,570731.25,NA,Flag,NA
220628_Smp_MU5_C,MU5,C,KM1906,5-Hydroxyectoine,7847029,NA,NA,NA
220628_Smp_MU6_A,MU6,A,KM1906,5-Hydroxyectoine,570731.25,NA,Flag,NA
220628_Smp_MU6_B,MU6,B,KM1906,5-Hydroxyectoine,5198355,NA,NA,NA
220628_Smp_MU6_C,MU6,C,KM1906,5-Hydroxyectoine,6843265,NA,NA,NA
220628_Smp_MU7_A,MU7,A,KM1906,5-Hydroxyectoine,5431246,NA,NA,NA
220628_Smp_MU7_B,MU7,B,KM1906,5-Hydroxyectoine,5688901,NA,NA,NA
220628_Smp_MU7_C,MU7,C,KM1906,5-Hydroxyectoine,4073118,NA,NA,NA
220628_Smp_MU8_A,MU8,A,KM1906,5-Hydroxyectoine,7613860,NA,NA,NA
220628_Smp_MU8_B,MU8,B,KM1906,5-Hydroxyectoine,570731.25,NA,Flag,NA
220628_Smp_MU8_C,MU8,C,KM1906,5-Hydroxyectoine,3925468,NA,NA,NA
220628_Smp_MU9_A,MU9,A,KM1906,5-Hydroxyectoine,570731.25,NA,Flag,NA
220628_Smp_MU9_B,MU9,B,KM1906,5-Hydroxyectoine,8244187,NA,NA,NA
220628_Smp_MU9_C,MU9,C,KM1906,5-Hydroxyectoine,4785785,NA,NA,NA
220628_Smp_MU10_A,MU10,A,KM1906,5-Hydroxyectoine,570731.25,NA,Flag,Smp_Remove
220628_Smp_MU10_B,MU10,B,KM1906,5-Hydroxyectoine,570731.25,NA,Flag,Smp_Remove
220628_Smp_MU10_C,MU10,C,KM1906,5-Hydroxyectoine,5476457,NA,NA,NA
220628_Smp_MU11_A,MU11,A,KM1906,5-Hydroxyectoine,570731.25,NA,Flag,NA
220628_Smp_MU11_B,MU11,B,KM1906,5-Hydroxyectoine,4171871,NA,NA,NA
220628_Smp_MU11_C,MU11,C,KM1906,5-Hydroxyectoine,5606117,NA,NA,NA
220628_Smp_MU14_A,MU14,A,KM1906,5-Hydroxyectoine,6637641,NA,NA,NA
220628_Smp_MU14_B,MU14,B,KM1906,5-Hydroxyectoine,17480944,NA,NA,NA
220628_Smp_MU14_C,MU14,C,KM1906,5-Hydroxyectoine,11029043,NA,NA,NA
220628_Smp_MU15_A,MU15,A,KM1906,5-Hydroxyectoine,5759130,NA,NA,NA
220628_Smp_MU15_B,MU15,B,KM1906,5-Hydroxyectoine,14226348,NA,NA,NA
220628_Smp_MU15_C,MU15,C,KM1906,5-Hydroxyectoine,4777336,NA,NA,NA
220628_Smp_MU16_A,MU16,A,KM1906,5-Hydroxyectoine,3472001,NA,NA,NA
220628_Smp_MU16_B,MU16,B,KM1906,5-Hydroxyectoine,6048779,NA,NA,NA
220628_Smp_MU16_C,MU16,C,KM1906,5-Hydroxyectoine,6247043,NA,NA,NA
220628_Smp_MU17_A,MU17,A,KM1906,5-Hydroxyectoine,570731.25,NA,Flag,NA
220628_Smp_MU17_B,MU17,B,KM1906,5-Hydroxyectoine,3723800,NA,NA,NA
