Part.SampID,Diss.SampID,Cruise,Compound,compound.name.figure,order,class,Part.Conc.nM,Part.C.nM,Part.N.nM,Part.S.nM,Diss.Conc.nM.adj,Diss.N.nM.adj,Diss.S.nM.adj,Total.Conc.nM,Total.C.nM,Total.N.nM,Total.S.nM,Part.Flag,Diss.Flag,Tot.Flag,Diss.LOD.nM.adj,Lat,Long,depth_m,Local_Date,Local_Time,station,Region,Treatment
220628_Smp_MU17_A,220623_Smp_MU17_A,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.08100380826533468,0.5670266578573427,0.08100380826533468,NA,0.05480761361076706,0.05480761361076706,NA,0.13581142187610173,0.9506799531327121,0.13581142187610173,NA,NA,NA,NA,0.00313928717680363,42.334,-158,7,4/24/19,14:20:00,NA,NPTZ,NA
220628_Smp_MU17_B,220623_Smp_MU17_B,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.07889368605331205,0.5522558023731844,0.07889368605331205,NA,0.1520750248987634,0.1520750248987634,NA,0.23096871095207544,1.6167809766645278,0.23096871095207544,NA,NA,NA,NA,0.00313928717680363,42.334,-158,7,4/24/19,14:20:00,NA,NPTZ,NA
220628_Smp_MU17_C,NA,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.1066179977629979,0.7463259843409853,0.1066179977629979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.334,-158,7,4/24/19,14:20:00,NA,NPTZ,NA
220628_Smp_MU18_A,NA,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.06000212606753646,0.42001488247275526,0.06000212606753646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.09,-158,7,4/24/19,18:30:00,NA,NPTZ,NA
220628_Smp_MU18_B,NA,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.0679527594656201,0.4756693162593407,0.0679527594656201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.09,-158,7,4/24/19,18:30:00,NA,NPTZ,NA
220628_Smp_MU18_C,NA,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.05823875355166508,0.4076712748616556,0.05823875355166508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.09,-158,7,4/24/19,18:30:00,NA,NPTZ,NA
220628_Smp_MU19_A,NA,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.3069041761704914,2.14832923319344,0.3069041761704914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.09,-158,7,4/25/19,05:40:00,NA,NPTZ,NA
220628_Smp_MU19_B,NA,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.3605238257801253,2.5236667804608772,0.3605238257801253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.09,-158,7,4/25/19,05:40:00,NA,NPTZ,NA
220628_Smp_MU19_C,NA,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.3370083786782017,2.359058650747412,0.3370083786782017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.09,-158,7,4/25/19,05:40:00,NA,NPTZ,NA
220628_Smp_MU20_A,NA,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.044321265622195,0.310248859355365,0.044321265622195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.48,-158,7,4/25/19,18:24:00,NA,NPTZ,NA
