Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.lod.flag,Blk.Av,smp.remove
220623_Smp_MU9_A,MU9,A,KM1906,(3-Carboxypropyl)trimethylammonium,434768,NA,NA,NA,NA
220623_Smp_MU9_B,MU9,B,KM1906,(3-Carboxypropyl)trimethylammonium,512854,NA,NA,NA,NA
220623_Smp_MU9_C,MU9,C,KM1906,(3-Carboxypropyl)trimethylammonium,645712,NA,NA,NA,NA
220623_Smp_MU1_A,MU1,A,KM1906,Arsenobetaine,NA,NA,NA,NA,NA
220623_Smp_MU1_B,MU1,B,KM1906,Arsenobetaine,13550,Flag,NA,852,Smp_Remove
220623_Smp_MU1_C,MU1,C,KM1906,Arsenobetaine,14607,Flag,NA,852,Smp_Remove
220623_Smp_MU10_A,MU10,A,KM1906,Arsenobetaine,43907,NA,NA,NA,NA
220623_Smp_MU10_B,MU10,B,KM1906,Arsenobetaine,16703,Flag,NA,852,NA
220623_Smp_MU10_C,MU10,C,KM1906,Arsenobetaine,NA,NA,NA,NA,NA
220623_Smp_MU11_A,MU11,A,KM1906,Arsenobetaine,NA,NA,NA,NA,NA
220623_Smp_MU11_B,MU11,B,KM1906,Arsenobetaine,15509,Flag,NA,852,NA
220623_Smp_MU11_C,MU11,C,KM1906,Arsenobetaine,NA,NA,NA,NA,NA
220623_Smp_MU12_A,MU12,A,KM1906,Arsenobetaine,192296,NA,NA,NA,NA
220623_Smp_MU12_B,MU12,B,KM1906,Arsenobetaine,35069,Flag,NA,852,NA
220623_Smp_MU12_C,MU12,C,KM1906,Arsenobetaine,240543,NA,NA,NA,NA
220623_Smp_MU13_A,MU13,A,KM1906,Arsenobetaine,NA,NA,NA,NA,NA
220623_Smp_MU13_B,MU13,B,KM1906,Arsenobetaine,11553,Flag,NA,852,Smp_Remove
220623_Smp_MU13_C,MU13,C,KM1906,Arsenobetaine,14413,Flag,NA,852,Smp_Remove
220623_Smp_MU14_A,MU14,A,KM1906,Arsenobetaine,NA,NA,NA,NA,NA
