Cruise,Parent_ID,Part.SampID,Diss.SampID
RC078,S2_C4_D6_C,221006_Smp_S2_C4_D6_C,240415_Smp_S2_C4_D6_C
RC078,S3_C1_D1_A,221006_Smp_S3_C1_D1_A,NA
RC078,S3_C1_D1_B,221006_Smp_S3_C1_D1_B,NA
RC078,S3_C1_D1_C,221006_Smp_S3_C1_D1_C,NA
RC078,S3_C1_D2_A,221006_Smp_S3_C1_D2_A,NA
RC078,S3_C1_D2_B,221006_Smp_S3_C1_D2_B,NA
RC078,S3_C1_D2_C,221006_Smp_S3_C1_D2_C,NA
RC078,S3_C2_D3_A,221006_Smp_S3_C2_D3_A,240415_Smp_S3_C2_D3_A
RC078,S3_C2_D3_B,221006_Smp_S3_C2_D3_B,240415_Smp_S3_C2_D3_B
RC078,S3_C2_D3_C,221006_Smp_S3_C2_D3_C,240415_Smp_S3_C2_D3_C
RC078,S3_C2_D4_A,221006_Smp_S3_C2_D4_A,240415_Smp_S3_C2_D4_A
RC078,S3_C2_D4_B,221006_Smp_S3_C2_D4_B,240415_Smp_S3_C2_D4_B
RC078,S3_C2_D4_C,221006_Smp_S3_C2_D4_C,240415_Smp_S3_C2_D4_C
RC078,S4_C1_D1_A,221006_Smp_S4_C1_D1_A,NA
RC078,S4_C1_D1_B,221006_Smp_S4_C1_D1_B,NA
RC078,S4_C1_D1_C,221006_Smp_S4_C1_D1_C,NA
RC078,S4_C1_D2_A,221006_Smp_S4_C1_D2_A,NA
RC078,S4_C1_D2_B,221006_Smp_S4_C1_D2_B,NA
RC078,S4_C1_D2_C,221006_Smp_S4_C1_D2_C,NA
RC078,S4_C2_D3_A,221006_Smp_S4_C2_D3_A,NA
RC078,S4_C2_D3_B,221006_Smp_S4_C2_D3_B,NA
RC078,S4_C2_D3_C,221006_Smp_S4_C2_D3_C,NA
RC078,S4_C2_D4_A,221006_Smp_S4_C2_D4_A,NA
RC078,S4_C2_D4_B,221006_Smp_S4_C2_D4_B,NA
RC078,S4_C2_D4_C,221006_Smp_S4_C2_D4_C,NA
RC078,S5_C3_D1_A,221006_Smp_S5_C3_D1_A,NA
RC078,S5_C3_D1_B,221006_Smp_S5_C3_D1_B,NA
RC078,S5_C3_D1_C,221006_Smp_S5_C3_D1_C,NA
RC078,S5_C3_D2_A,221006_Smp_S5_C3_D2_A,240415_Smp_S5_C3_D2_A
RC078,S5_C3_D2_B,221006_Smp_S5_C3_D2_B,240415_Smp_S5_C3_D2_B
RC078,S5_C3_D2_C,221006_Smp_S5_C3_D2_C,240415_Smp_S5_C3_D2_C
RC078,S5_C3_D3_A,221006_Smp_S5_C3_D3_A,240415_Smp_S5_C3_D3_A
RC078,S5_C3_D3_B,221006_Smp_S5_C3_D3_B,240415_Smp_S5_C3_D3_B
RC078,S5_C3_D3_C,221006_Smp_S5_C3_D3_C,240415_Smp_S5_C3_D3_C
RC078,S6_C1_D1_A,221006_Smp_S6_C1_D1_A,240415_Smp_S6_C1_D1_A
RC078,S6_C1_D1_B,221006_Smp_S6_C1_D1_B,240415_Smp_S6_C1_D1_B
RC078,S6_C1_D1_C,221006_Smp_S6_C1_D1_C,240415_Smp_S6_C1_D1_C
RC078,S6_C1_D2_A,221006_Smp_S6_C1_D2_A,240415_Smp_S6_C1_D2_A
RC078,S6_C1_D2_B,221006_Smp_S6_C1_D2_B,240415_Smp_S6_C1_D2_B
RC078,S6_C1_D2_C,221006_Smp_S6_C1_D2_C,240415_Smp_S6_C1_D2_C
RC078,S6_C2_D3_A,221006_Smp_S6_C2_D3_A,NA
RC078,S6_C2_D3_B,221006_Smp_S6_C2_D3_B,NA
RC078,S6_C2_D3_C,221006_Smp_S6_C2_D3_C,NA
RC078,S6_C2_D4_A,221006_Smp_S6_C2_D4_A,NA
RC078,S6_C2_D4_B,221006_Smp_S6_C2_D4_B,NA
RC078,S6_C2_D4_C,221006_Smp_S6_C2_D4_C,NA
RC078,S7_C1_D1_B,221006_Smp_S7_C1_D1_B,NA
RC078,S7_C1_D1_C,221006_Smp_S7_C1_D1_C,NA
RC078,S7_C1_D2_A,221006_Smp_S7_C1_D2_A,NA
RC078,S7_C1_D2_B,221006_Smp_S7_C1_D2_B,NA
RC078,S7_C1_D2_C,221006_Smp_S7_C1_D2_C,NA
RC078,S7_C2_D3_A,221006_Smp_S7_C2_D3_A,NA
RC078,S7_C2_D3_B,221006_Smp_S7_C2_D3_B,NA
RC078,S7_C2_D3_C,221006_Smp_S7_C2_D3_C,NA
RC078,S7_C2_D4_A,221006_Smp_S7_C2_D4_A,NA
RC078,S7_C2_D4_B,221006_Smp_S7_C2_D4_B,NA
RC078,S7_C2_D4_C,221006_Smp_S7_C2_D4_C,NA
RC078,S7_C3_D5_A,221006_Smp_S7_C3_D5_A,240415_Smp_S7_C3_D5_A
RC078,S7_C3_D5_B,221006_Smp_S7_C3_D5_B,240415_Smp_S7_C3_D5_B
RC078,S7_C3_D5_C,221006_Smp_S7_C3_D5_C,240415_Smp_S7_C3_D5_C
RC078,S7_C3_D6_A,221006_Smp_S7_C3_D6_A,240415_Smp_S7_C3_D6_A
RC078,S7_C3_D6_B,221006_Smp_S7_C3_D6_B,240415_Smp_S7_C3_D6_B
RC078,S7_C3_D6_C,221006_Smp_S7_C3_D6_C,240415_Smp_S7_C3_D6_C
RC078,S8_C1_D1_A_2L,221006_Smp_S8_C1_D1_A_2L,NA
