Cruise,Parent_ID,Part.SampID,Compound,Part.detected,Part.Conc.Vial.uM,Part.Conc.nM,Part.Conc.C.nM,Part.Conc.N.nM,Part.Conc.S.nM,Part.Impute.Conc.nM,Treatment,Replicate,POC_uM,PN_uM,Chlorophyte,Diatom,Dinoflagellate,Haptophyte,Metazoa,Other,N,P,Fe,N_status
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,Trigonelline,Yes,0.24843217786746075,0.01116549114011059,0.07815843798077417,0.01116549114011059,NA,4.562369762603976e-4,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,beta-Alanine,Yes,0.4651186640966043,0.02090420962231929,0.06271262886695789,0.02090420962231929,NA,0.00209308464820741,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,beta-Alaninebetaine,Yes,3.902653566550494,0.17540016029440422,1.0524009617664254,0.17540016029440422,NA,0.00509952868681567,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,beta-Glutamic acid,Yes,0.06646742623005784,0.00298730005528349,0.01493650027641749,0.00298730005528349,NA,5.675227130936853e-4,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,Arsenobetaine,Yes,0.02935655045069146,0.00131939552587377,0.00659697762936886,NA,NA,9.490546495213828e-7,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,Glycine betaine,Yes,8.606086145360527,0.3867903885555293,1.9339519427776464,0.3867903885555293,NA,0.01602145945022742,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,Homarine,Yes,0.2140057096960599,0.00961823414364314,0.06732763900550198,0.00961823414364314,NA,3.2068210341704693e-4,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,L-Alanine,Yes,3.766994302995187,0.16930311474135673,0.5079093442240702,0.16930311474135673,NA,0.02155926474779695,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,L-Isoleucine,Yes,11.328983484905308,0.5091677970743957,3.0550067824463745,0.5091677970743957,NA,0.03493787865765522,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,L-Methionine,Yes,0.40640438828780096,0.01826536576574386,0.09132682882871931,0.01826536576574386,0.01826536576574386,3.019826434665349e-4,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,L-Proline,Yes,0.8404192716405341,0.03777165265800153,0.18885826329000768,0.03777165265800153,NA,0.00657817220557339,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,Trimethylamine N-oxide,Yes,3.788988646076094,0.17029162454274582,0.5108748736282375,0.17029162454274582,NA,0.00113579678772928,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,L-Cysteic acid,Yes,0.10443402968977804,0.00469366425572036,0.01408099276716108,0.00469366425572036,0.00469366425572036,3.56634903911094e-5,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,Isethionic acid,No,0.9675683865388544,0.04348621961972379,0.08697243923944759,NA,0.04348621961972379,0.15528742420088287,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,Sucrose,No,0.6429124762204332,0.02889494275148014,0.34673931301776173,NA,NA,0.0172159938075097,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,Taurine,Yes,0.6577191571720852,0.02956041155829596,0.05912082311659192,0.02956041155829596,0.02956041155829596,0.00191191175687645,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,Trehalose,No,0.20374342295611275,0.00915700777330843,0.10988409327970124,NA,NA,0.00444532740856345,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_3,230213_Smp_T0Tote_3,(3-Carboxypropyl)trimethylammonium,Yes,0.11376557739132848,0.00606749746087085,0.04247248222609597,0.00606749746087085,NA,1.750122308779136e-4,Tote,3,5.494,0.458,0.002,0,0.319,0.037,0.373,0.269,0,0,0,minus_N
PERIFIX,T0Tote_3,230213_Smp_T0Tote_3,"(R)-2,3-Dihydroxypropane-1-sulfonate",No,0.13711261425109217,0.00731267276005824,0.02193801828017474,NA,0.00731267276005824,0.05176641511659712,Tote,3,5.494,0.458,0.002,0,0.319,0.037,0.373,0.269,0,0,0,minus_N
PERIFIX,T0Tote_3,230213_Smp_T0Tote_3,2-O-alpha-D-Glucosylglycerol,Yes,4.815654295531735,0.25683489576169255,2.311514061855233,NA,NA,0.03017827845019714,Tote,3,5.494,0.458,0.002,0,0.319,0.037,0.373,0.269,0,0,0,minus_N
PERIFIX,T0Tote_3,230213_Smp_T0Tote_3,5-Hydroxyectoine,No,0,0,0,0,NA,2.5195715569144132e-5,Tote,3,5.494,0.458,0.002,0,0.319,0.037,0.373,0.269,0,0,0,minus_N
PERIFIX,T0Tote_3,230213_Smp_T0Tote_3,Betonicine,Yes,0.04236193687672675,0.00225930330009209,0.01581512310064465,0.00225930330009209,NA,5.28791901393793e-4,Tote,3,5.494,0.458,0.002,0,0.319,0.037,0.373,0.269,0,0,0,minus_N
PERIFIX,T0Tote_3,230213_Smp_T0Tote_3,Carnitine,Yes,0.15004018150785806,0.00800214301375243,0.056015001096267,0.00800214301375243,NA,0.00146720679078294,Tote,3,5.494,0.458,0.002,0,0.319,0.037,0.373,0.269,0,0,0,minus_N
PERIFIX,T0Tote_3,230213_Smp_T0Tote_3,Dimethylsulfonioacetate,Yes,0.4386606915253978,0.02339523688135454,0.0935809475254182,NA,0.02339523688135454,0.00389054380533186,Tote,3,5.494,0.458,0.002,0,0.319,0.037,0.373,0.269,0,0,0,minus_N
