SampID,Cruise,Lat,Long,Local_Date,Local_Time,depth_m,station,Treatment
221006_Smp_S2_C3_D3_B,RC078,48.25049676866018,-122.99715497913769,6/4/22,08:30:00,45,2,NA
221006_Smp_S2_C3_D3_C,RC078,48.25049676866018,-122.99715497913769,6/4/22,08:30:00,45,2,NA
221006_Smp_S2_C3_D4_A,RC078,48.25049676866018,-122.99715497913769,6/4/22,08:30:00,30,2,NA
221006_Smp_S2_C3_D4_B,RC078,48.25049676866018,-122.99715497913769,6/4/22,08:30:00,30,2,NA
221006_Smp_S2_C3_D4_C,RC078,48.25049676866018,-122.99715497913769,6/4/22,08:30:00,30,2,NA
221006_Smp_S2_C4_D5_A,RC078,48.25049676866018,-122.99715497913769,6/4/22,10:30:00,15,2,NA
221006_Smp_S2_C4_D5_B,RC078,48.25049676866018,-122.99715497913769,6/4/22,10:30:00,15,2,NA
221006_Smp_S2_C4_D5_C,RC078,48.25049676866018,-122.99715497913769,6/4/22,10:30:00,15,2,NA
221006_Smp_S2_C4_D6_A,RC078,48.25049676866018,-122.99715497913769,6/4/22,10:30:00,4,2,NA
221006_Smp_S2_C4_D6_B,RC078,48.25049676866018,-122.99715497913769,6/4/22,10:30:00,4,2,NA
221006_Smp_S2_C4_D6_C,RC078,48.25049676866018,-122.99715497913769,6/4/22,10:30:00,4,2,NA
221006_Smp_S3_C1_D1_A,RC078,48.49653944927536,-123.1625112173913,6/5/22,09:00:00,230,3,NA
221006_Smp_S3_C1_D1_B,RC078,48.49653944927536,-123.1625112173913,6/5/22,09:00:00,230,3,NA
221006_Smp_S3_C1_D1_C,RC078,48.49653944927536,-123.1625112173913,6/5/22,09:00:00,230,3,NA
221006_Smp_S3_C1_D2_A,RC078,48.49653944927536,-123.1625112173913,6/5/22,09:00:00,100,3,NA
221006_Smp_S3_C1_D2_B,RC078,48.49653944927536,-123.1625112173913,6/5/22,09:00:00,100,3,NA
221006_Smp_S3_C1_D2_C,RC078,48.49653944927536,-123.1625112173913,6/5/22,09:00:00,100,3,NA
221006_Smp_S3_C2_D3_A,RC078,48.49653944927536,-123.1625112173913,6/5/22,11:00:00,10,3,NA
221006_Smp_S3_C2_D3_B,RC078,48.49653944927536,-123.1625112173913,6/5/22,11:00:00,10,3,NA
221006_Smp_S3_C2_D3_C,RC078,48.49653944927536,-123.1625112173913,6/5/22,11:00:00,10,3,NA
221006_Smp_S3_C2_D4_A,RC078,48.49653944927536,-123.1625112173913,6/5/22,11:00:00,4,3,NA
221006_Smp_S3_C2_D4_B,RC078,48.49653944927536,-123.1625112173913,6/5/22,11:00:00,4,3,NA
221006_Smp_S3_C2_D4_C,RC078,48.49653944927536,-123.1625112173913,6/5/22,11:00:00,4,3,NA
221006_Smp_S4_C1_D1_A,RC078,48.82414942791762,-122.8971995194508,6/6/22,16:00:00,0,5,NA
221006_Smp_S4_C1_D1_B,RC078,48.82414942791762,-122.8971995194508,6/6/22,16:00:00,0,5,NA
