Part.SampID,Diss.SampID,Cruise,Region,Lat,Long,depth_m,station,Treatment,sst,sss,poc,pn
220902_Smp_TN397_U1_A,220602_Smp_TN397_U1_A,TN397,CC,32.25921,-117.3388,7,NA,NA,17.865323305555556,33.523961444444446,NA,NA
220902_Smp_TN397_U1_B,220602_Smp_TN397_U1_B,TN397,CC,32.25921,-117.3388,7,NA,NA,17.865323305555556,33.523961444444446,NA,NA
220902_Smp_TN397_U1_C,220602_Smp_TN397_U1_C,TN397,CC,32.25921,-117.3388,7,NA,NA,17.865323305555556,33.523961444444446,NA,NA
220902_Smp_TN397_U2_A,220602_Smp_TN397_U2_A,TN397,CC,32.11654,-117.58582,7,NA,NA,18.595011694444445,33.497090166666666,NA,NA
220902_Smp_TN397_U2_B,220602_Smp_TN397_U2_B,TN397,CC,32.11654,-117.58582,7,NA,NA,18.595011694444445,33.497090166666666,NA,NA
220902_Smp_TN397_U2_C,220602_Smp_TN397_U2_C,TN397,CC,32.11654,-117.58582,7,NA,NA,18.595011694444445,33.497090166666666,NA,NA
220902_Smp_TN397_U3_A,220602_Smp_TN397_U3_A,TN397,CC,31.5634,-118.25816,7,NA,NA,18.75058637032676,33.52386685310568,NA,NA
220902_Smp_TN397_U3_B,220602_Smp_TN397_U3_B,TN397,CC,31.5634,-118.25816,7,NA,NA,18.75058637032676,33.52386685310568,NA,NA
220902_Smp_TN397_U3_C,220602_Smp_TN397_U3_C,TN397,CC,31.5634,-118.25816,7,NA,NA,18.75058637032676,33.52386685310568,NA,NA
220902_Smp_TN397_U4_A,220602_Smp_TN397_U4_A,TN397,CC,31.26598,-119.15959,7,NA,NA,17.16863861111111,33.421525333333335,NA,NA
220902_Smp_TN397_U4_B,220602_Smp_TN397_U4_B,TN397,CC,31.26598,-119.15959,7,NA,NA,17.16863861111111,33.421525333333335,NA,NA
220902_Smp_TN397_U4_C,220602_Smp_TN397_U4_C,TN397,CC,31.26598,-119.15959,7,NA,NA,17.16863861111111,33.421525333333335,NA,NA
220902_Smp_TN397_U5_A,220602_Smp_TN397_U5_A,TN397,CC,30.10413,-121.27565,7,NA,NA,17.48170490533563,33.23077814113597,NA,NA
220902_Smp_TN397_U5_B,220602_Smp_TN397_U5_B,TN397,CC,30.10413,-121.27565,7,NA,NA,17.48170490533563,33.23077814113597,NA,NA
220902_Smp_TN397_U5_C,220602_Smp_TN397_U5_C,TN397,CC,30.10413,-121.27565,7,NA,NA,17.48170490533563,33.23077814113597,NA,NA
